full_name,given_name,surname,irish_flag
Roy Blunt,Roy,Blunt,0
Josh Hawley,Josh,Hawley,0
Steve Daines,Steve,Daines,0
Jon Tester,Jon,Tester,0
Deb Fischer,Deb,Fischer,0
Ben Sasse,Ben,Sasse,0
Catherine Cortez Masto,Catherine,Cortez Masto,0
Jacky Rosen,Jacky,Rosen,0
Maggie Hassan,Maggie,Hassan,0
Jeanne Shaheen,Jeanne,Shaheen,0
Cory Booker,Cory,Booker,0
Bob Menendez,Bob,Menendez,0
Martin Heinrich,Martin,Heinrich,0
Ben Ray Luján,Ben,Luján,0
Kirsten Gillibrand,Kirsten,Gillibrand,0
Chuck Schumer,Chuck,Schumer,0
Richard Burr,Richard,Burr,0
Thom Tillis,Thom,Tillis,0
Kevin Cramer,Kevin,Cramer,0
John Hoeven,John,Hoeven,0
Sherrod Brown,Sherrod,Brown,0
Rob Portman,Rob,Portman,0
Jim Inhofe,Jim,Inhofe,0
James Lankford,James,Lankford,0
Jeff Merkley,Jeff,Merkley,0
Ron Wyden,Ron,Wyden,0
Bob Casey Jr.,Bob,Casey,0
Pat Toomey,Pat,Toomey,0
Jack Reed,Jack,Reed,0
Sheldon Whitehouse,Sheldon,Whitehouse,0
Lindsey Graham,Lindsey,Graham,0
Tim Scott,Tim,Scott,0
Mike Rounds,Mike,Rounds,0
John Thune,John,Thune,0
Marsha Blackburn,Marsha,Blackburn,0
Bill Hagerty,Bill,Hagerty,0
John Cornyn,John,Cornyn,0
Ted Cruz,Ted,Cruz,0
Mike Lee,Mike,Lee,0
Mitt Romney,Mitt,Romney,0
Patrick Leahy,Patrick,Leahy,0
Bernie Sanders,Bernie,Sanders,0
Tim Kaine,Tim,Kaine,0
Mark Warner,Mark,Warner,0
Maria Cantwell,Maria,Cantwell,0
Patty Murray,Patty,Murray,0
Shelley Moore Capito,Shelley,Moore Capito,0
Joe Manchin III,Joe,Manchin,0
Tammy Baldwin,Tammy,Baldwin,0
Ronald Harold Johnson,Ronald Harold,Johnson,0
John Barrasso,John,Barrasso,0
Cynthia Lummis,Cynthia,Lummis,0
Zoraida Buxo Santiago,Zoraida,Buxo Santiago,0
Melinda Romero Donnelly,Melinda,Romero Donnelly,0
Jerry Carl,Jerry,Carl,0
Barry Moore,Barry,Moore,0
Mike Rogers,Mike,Rogers,0
Robert Aderholt,Robert,Aderholt,0
Mo Brooks,Mo,Brooks,0
Gary Palmer,Gary,Palmer,0
Terri Sewell,Terri,Sewell,0
