full_name,given_name,surname,full_name_plain,given_name_plain,surname_plain,irish_flag
Maria Cantwell,Maria,Cantwell,MariaCantwell,Maria,Cantwell,0
Patty Murray,Patty,Murray,PattyMurray,Patty,Murray,0
Shelley Moore Capito,Shelley,Moore Capito,ShelleyMooreCapito,Shelley,MooreCapito,0
Joe Manchin III,Joe,Manchin,JoeManchinIII,Joe,Manchin,0
Tammy Baldwin,Tammy,Baldwin,TammyBaldwin,Tammy,Baldwin,0
Ronald Harold Johnson,Ronald Harold,Johnson,RonaldHaroldJohnson,RonaldHarold,Johnson,0
John Barrasso,John,Barrasso,JohnBarrasso,John,Barrasso,0
Cynthia Lummis,Cynthia,Lummis,CynthiaLummis,Cynthia,Lummis,0
Zoraida Buxo Santiago,Zoraida,Buxo Santiago,ZoraidaBuxoSantiago,Zoraida,BuxoSantiago,0
Melinda Romero Donnelly,Melinda,Romero Donnelly,MelindaRomeroDonnelly,Melinda,RomeroDonnelly,0
Jerry Carl,Jerry,Carl,JerryCarl,Jerry,Carl,0
Barry Moore,Barry,Moore,BarryMoore,Barry,Moore,0
Mike Rogers,Mike,Rogers,MikeRogers,Mike,Rogers,0
Robert Aderholt,Robert,Aderholt,RobertAderholt,Robert,Aderholt,0
Mo Brooks,Mo,Brooks,MoBrooks,Mo,Brooks,0
Gary Palmer,Gary,Palmer,GaryPalmer,Gary,Palmer,0
Terri Sewell,Terri,Sewell,TerriSewell,Terri,Sewell,0
Don Young,Don,Young,DonYoung,Don,Young,0
Aumua Amata Radewagen,Aumua,Amata Radewagen,AumuaAmataRadewagen,Aumua,AmataRadewagen,0
Tom O'Halleran,Tom,O'Halleran,TomOHalleran,Tom,OHalleran,0
Ann Kirkpatrick,Ann,Kirkpatrick,AnnKirkpatrick,Ann,Kirkpatrick,0
Raul Grijalva,Raul,Grijalva,RaulGrijalva,Raul,Grijalva,0
Paul Gosar,Paul,Gosar,PaulGosar,Paul,Gosar,0
Andy Biggs,Andy,Biggs,AndyBiggs,Andy,Biggs,0
David Schweikert,David,Schweikert,DavidSchweikert,David,Schweikert,0
Ruben Gallego,Ruben,Gallego,RubenGallego,Ruben,Gallego,0
Debbie Lesko,Debbie,Lesko,DebbieLesko,Debbie,Lesko,0
Greg Stanton,Greg,Stanton,GregStanton,Greg,Stanton,0
Rick Crawford,Rick,Crawford,RickCrawford,Rick,Crawford,0
French Hill,French,Hill,FrenchHill,French,Hill,0
Steve Womack,Steve,Womack,SteveWomack,Steve,Womack,0
Bruce Westerman,Bruce,Westerman,BruceWesterman,Bruce,Westerman,0
Doug LaMalfa,Doug,LaMalfa,DougLaMalfa,Doug,LaMalfa,0
Jared Huffman,Jared,Huffman,JaredHuffman,Jared,Huffman,0
John Garamendi,John,Garamendi,JohnGaramendi,John,Garamendi,0
Tom McClintock,Tom,McClintock,TomMcClintock,Tom,McClintock,0
Mike Thompson,Mike,Thompson,MikeThompson,Mike,Thompson,0
Doris Matsui,Doris,Matsui,DorisMatsui,Doris,Matsui,0
Ami Bera,Ami,Bera,AmiBera,Ami,Bera,0
Jay Obernolte,Jay,Obernolte,JayObernolte,Jay,Obernolte,0
Jerry McNerney,Jerry,McNerney,JerryMcNerney,Jerry,McNerney,0
Josh Harder,Josh,Harder,JoshHarder,Josh,Harder,0
Mark DeSaulnier,Mark,DeSaulnier,MarkDeSaulnier,Mark,DeSaulnier,0
Nancy Pelosi,Nancy,Pelosi,NancyPelosi,Nancy,Pelosi,0
Barbara Lee,Barbara,Lee,BarbaraLee,Barbara,Lee,0
Jackie Speier,Jackie,Speier,JackieSpeier,Jackie,Speier,0
Eric Swalwell,Eric,Swalwell,EricSwalwell,Eric,Swalwell,0
Jim Costa,Jim,Costa,JimCosta,Jim,Costa,0
Ro Khanna,Ro,Khanna,RoKhanna,Ro,Khanna,0
Anna Eshoo,Anna,Eshoo,AnnaEshoo,Anna,Eshoo,0
Zoe Lofgren,Zoe,Lofgren,ZoeLofgren,Zoe,Lofgren,0
Jimmy Panetta,Jimmy,Panetta,JimmyPanetta,Jimmy,Panetta,0
David G. Valadao,David,Valadao,DavidGValadao,David,Valadao,0
Kevin McCarthy,Kevin,McCarthy,KevinMcCarthy,Kevin,McCarthy,0
Salud Carbajal,Salud,Carbajal,SaludCarbajal,Salud,Carbajal,0
Mike Garcia,Mike,Garcia,MikeGarcia,Mike,Garcia,0
Julia Brownley,Julia,Brownley,JuliaBrownley,Julia,Brownley,0
Judy Chu,Judy,Chu,JudyChu,Judy,Chu,0
Adam Schiff,Adam,Schiff,AdamSchiff,Adam,Schiff,0
Tony Cárdenas,Tony,Cárdenas,TonyCardenas,Tony,Cardenas,0
Brad Sherman,Brad,Sherman,BradSherman,Brad,Sherman,0
Pete Aguilar,Pete,Aguilar,PeteAguilar,Pete,Aguilar,0
Grace Napolitano,Grace,Napolitano,GraceNapolitano,Grace,Napolitano,0
Ted Lieu,Ted,Lieu,TedLieu,Ted,Lieu,0
Jimmy Gomez,Jimmy,Gomez,JimmyGomez,Jimmy,Gomez,0
Norma Torres,Norma,Torres,NormaTorres,Norma,Torres,0
Raul Ruiz,Raul,Ruiz,RaulRuiz,Raul,Ruiz,0
Karen Bass,Karen,Bass,KarenBass,Karen,Bass,0
Linda Sánchez,Linda,Sánchez,LindaSanchez,Linda,Sanchez,0
Young Kim,Young,Kim,YoungKim,Young,Kim,0
Lucille Roybal-Allard,Lucille,Roybal-Allard,LucilleRoybalAllard,Lucille,RoybalAllard,0
Mark Takano,Mark,Takano,MarkTakano,Mark,Takano,0
Ken Calvert,Ken,Calvert,KenCalvert,Ken,Calvert,0
Maxine Waters,Maxine,Waters,MaxineWaters,Maxine,Waters,0
Nanette Barragán,Nanette,Barragán,NanetteBarragan,Nanette,Barragan,0
Katie Porter,Katie,Porter,KatiePorter,Katie,Porter,0
Lou Correa,Lou,Correa,LouCorrea,Lou,Correa,0
Alan Lowenthal,Alan,Lowenthal,AlanLowenthal,Alan,Lowenthal,0
Michelle Steel,Michelle,Steel,MichelleSteel,Michelle,Steel,0
Mike Levin,Mike,Levin,MikeLevin,Mike,Levin,0
Darrell Issa,Darrell,Issa,DarrellIssa,Darrell,Issa,0
Juan Vargas,Juan,Vargas,JuanVargas,Juan,Vargas,0
Scott Peters,Scott,Peters,ScottPeters,Scott,Peters,0
Sara Jacobs,Sara,Jacobs,SaraJacobs,Sara,Jacobs,0
Diana DeGette,Diana,DeGette,DianaDeGette,Diana,DeGette,0
Joe Neguse,Joe,Neguse,JoeNeguse,Joe,Neguse,0
Lauren Boebert,Lauren,Boebert,LaurenBoebert,Lauren,Boebert,0
Ken Buck,Ken,Buck,KenBuck,Ken,Buck,0
Doug Lamborn,Doug,Lamborn,DougLamborn,Doug,Lamborn,0
Jason Crow,Jason,Crow,JasonCrow,Jason,Crow,0
Ed Perlmutter,Ed,Perlmutter,EdPerlmutter,Ed,Perlmutter,0
John Larson,John,Larson,JohnLarson,John,Larson,0
Joe Courtney,Joe,Courtney,JoeCourtney,Joe,Courtney,0
Rosa L. DeLauro,Rosa,DeLauro,RosaLDeLauro,Rosa,DeLauro,0
Jim Himes,Jim,Himes,JimHimes,Jim,Himes,0
Jahana Hayes,Jahana,Hayes,JahanaHayes,Jahana,Hayes,0
Lisa Blunt Rochester,Lisa,Blunt Rochester,LisaBluntRochester,Lisa,BluntRochester,0
Matt Gaetz,Matt,Gaetz,MattGaetz,Matt,Gaetz,0
Neal Dunn,Neal,Dunn,NealDunn,Neal,Dunn,0
Kat Cammack,Kat,Cammack,KatCammack,Kat,Cammack,0
John Rutherford,John,Rutherford,JohnRutherford,John,Rutherford,0
Alfred Lawson,Alfred,Lawson,AlfredLawson,Alfred,Lawson,0
Michael Waltz,Michael,Waltz,MichaelWaltz,Michael,Waltz,0
Stephanie Murphy,Stephanie,Murphy,StephanieMurphy,Stephanie,Murphy,0
Bill Posey,Bill,Posey,BillPosey,Bill,Posey,0
Darren Soto,Darren,Soto,DarrenSoto,Darren,Soto,0
Val Demings,Val,Demings,ValDemings,Val,Demings,0
Daniel Webster,Daniel,Webster,DanielWebster,Daniel,Webster,0
Gus M. Bilirakis,Gus,Bilirakis,GusMBilirakis,Gus,Bilirakis,0
Charlie Crist,Charlie,Crist,CharlieCrist,Charlie,Crist,0
Kathy Castor,Kathy,Castor,KathyCastor,Kathy,Castor,0
Scott Franklin,Scott,Franklin,ScottFranklin,Scott,Franklin,0
Vern Buchanan,Vern,Buchanan,VernBuchanan,Vern,Buchanan,0
Greg Steube,Greg,Steube,GregSteube,Greg,Steube,0
Brian Mast,Brian,Mast,BrianMast,Brian,Mast,0
Byron Donalds,Byron,Donalds,ByronDonalds,Byron,Donalds,0
Sheila Cherfilus-McCormick,Sheila,Cherfilus-McCormick,SheilaCherfilusMcCormick,Sheila,CherfilusMcCormick,0
Lois Frankel,Lois,Frankel,LoisFrankel,Lois,Frankel,0
Theodore E. Deutch,Theodore,Deutch,TheodoreEDeutch,Theodore,Deutch,0
Debbie Wasserman Schultz,Debbie,Wasserman Schultz,DebbieWassermanSchultz,Debbie,WassermanSchultz,0
Frederica S. Wilson,Frederica,Wilson,FredericaSWilson,Frederica,Wilson,0
Mario Diaz-Balart,Mario,Diaz-Balart,MarioDiazBalart,Mario,DiazBalart,0
Carlos Gimenez,Carlos,Gimenez,CarlosGimenez,Carlos,Gimenez,0
Maria Elvira Salazar,Maria,Elvira Salazar,MariaElviraSalazar,Maria,ElviraSalazar,0
Earl Carter,Earl,Carter,EarlCarter,Earl,Carter,0
Sanford Bishop Jr.,Sanford,Bishop,SanfordBishopJr,Sanford,Bishop,0
Drew Ferguson,Drew,Ferguson,DrewFerguson,Drew,Ferguson,0
Hank Johnson,Hank,Johnson,HankJohnson,Hank,Johnson,0
Nikema Williams,Nikema,Williams,NikemaWilliams,Nikema,Williams,0
Lucy McBath,Lucy,McBath,LucyMcBath,Lucy,McBath,0
Carolyn Bourdeaux,Carolyn,Bourdeaux,CarolynBourdeaux,Carolyn,Bourdeaux,0
Austin Scott,Austin,Scott,AustinScott,Austin,Scott,0
Andrew Clyde,Andrew,Clyde,AndrewClyde,Andrew,Clyde,0
Jody Hice,Jody,Hice,JodyHice,Jody,Hice,0
Barry Loudermilk,Barry,Loudermilk,BarryLoudermilk,Barry,Loudermilk,0
Rick Allen,Rick,Allen,RickAllen,Rick,Allen,0
David Scott,David,Scott,DavidScott,David,Scott,0
Marjorie Taylor Greene,Marjorie,Taylor Greene,MarjorieTaylorGreene,Marjorie,TaylorGreene,0
Michael F.Q. San Nicolas,Michael,San Nicolas,MichaelFQSanNicolas,Michael,SanNicolas,0
Ed Case,Ed,Case,EdCase,Ed,Case,0
Kaiali'i Kahele,Kaiali'i,Kahele,KaialiiKahele,Kaialii,Kahele,0
Russ Fulcher,Russ,Fulcher,RussFulcher,Russ,Fulcher,0
Michael K. Simpson,Michael,Simpson,MichaelKSimpson,Michael,Simpson,0
Bobby Rush,Bobby,Rush,BobbyRush,Bobby,Rush,0
Robin Kelly,Robin,Kelly,RobinKelly,Robin,Kelly,0
Marie Newman,Marie,Newman,MarieNewman,Marie,Newman,0
Jesus Garcia,Jesus,Garcia,JesusGarcia,Jesus,Garcia,0
Mike Quigley,Mike,Quigley,MikeQuigley,Mike,Quigley,0
Sean Casten,Sean,Casten,SeanCasten,Sean,Casten,0
Danny K. Davis,Danny,Davis,DannyKDavis,Danny,Davis,0
Raja Krishnamoorthi,Raja,Krishnamoorthi,RajaKrishnamoorthi,Raja,Krishnamoorthi,0
Jan Schakowsky,Jan,Schakowsky,JanSchakowsky,Jan,Schakowsky,0
Brad Schneider,Brad,Schneider,BradSchneider,Brad,Schneider,0
Bill Foster,Bill,Foster,BillFoster,Bill,Foster,0
Mike Bost,Mike,Bost,MikeBost,Mike,Bost,0
Rodney Davis,Rodney,Davis,RodneyDavis,Rodney,Davis,0
Lauren Underwood,Lauren,Underwood,LaurenUnderwood,Lauren,Underwood,0
Mary Miller,Mary,Miller,MaryMiller,Mary,Miller,0
Adam Kinzinger,Adam,Kinzinger,AdamKinzinger,Adam,Kinzinger,0
Cheri Bustos,Cheri,Bustos,CheriBustos,Cheri,Bustos,0
Darin LaHood,Darin,LaHood,DarinLaHood,Darin,LaHood,0
Frank Mrvan,Frank,Mrvan,FrankMrvan,Frank,Mrvan,0
Jackie Walorski,Jackie,Walorski,JackieWalorski,Jackie,Walorski,0
Jim Banks,Jim,Banks,JimBanks,Jim,Banks,0
Jim Baird,Jim,Baird,JimBaird,Jim,Baird,0
Victoria Spartz,Victoria,Spartz,VictoriaSpartz,Victoria,Spartz,0
Greg Pence,Greg,Pence,GregPence,Greg,Pence,0
André Carson,André,Carson,AndrECarson,AndrE,Carson,0
Larry Bucshon,Larry,Bucshon,LarryBucshon,Larry,Bucshon,0
Trey Hollingsworth,Trey,Hollingsworth,TreyHollingsworth,Trey,Hollingsworth,0
Ashley Hinson,Ashley,Hinson,AshleyHinson,Ashley,Hinson,0
Mariannette Miller-Meeks,Mariannette,Miller-Meeks,MariannetteMillerMeeks,Mariannette,MillerMeeks,0
Cindy Axne,Cindy,Axne,CindyAxne,Cindy,Axne,0
Randy Feenstra,Randy,Feenstra,RandyFeenstra,Randy,Feenstra,0
Tracey Mann,Tracey,Mann,TraceyMann,Tracey,Mann,0
Jacob LaTurner,Jacob,LaTurner,JacobLaTurner,Jacob,LaTurner,0
Sharice Davids,Sharice,Davids,ShariceDavids,Sharice,Davids,0
Ron Estes,Ron,Estes,RonEstes,Ron,Estes,0
James Comer Jr.,James,Comer,JamesComerJr,James,Comer,0
Brett Guthrie,Brett,Guthrie,BrettGuthrie,Brett,Guthrie,0
John A. Yarmuth,John,Yarmuth,JohnAYarmuth,John,Yarmuth,0
Thomas Massie,Thomas,Massie,ThomasMassie,Thomas,Massie,0
